cell,slot,throughput
12,0,683.845
12,1,54.4
12,2,6.912
12,3,30.656
12,4,6.912
12,5,54.4
12,6,0.0
12,7,30.656
12,8,6.912
12,9,61.312
12,10,30.656
12,11,6.912
12,12,30.656
12,13,6.912
12,14,30.656
12,15,30.656
12,16,30.656
12,17,0.0
12,18,30.656
12,19,6.912
12,20,87.552
12,21,78.312
12,22,111.296
12,23,23.744
12,24,6.912
12,25,30.656
12,26,61.312
12,27,30.656
12,28,6.912
12,29,0.0
12,30,37.568
12,31,23.744
12,32,30.656
12,33,30.656
12,34,37.568
12,35,30.656
12,36,6.912
12,37,30.656
12,38,27.2
12,39,10.367999999999999
12,40,30.656
12,41,6.912
12,42,0.0
12,43,30.656
12,44,27.2
12,45,10.367999999999999
12,46,30.656
12,47,30.656
12,48,23.744
12,49,6.912
12,50,30.656
12,51,37.568
12,52,30.656
12,53,30.656
12,54,23.744
12,55,13.824
12,56,23.744
12,57,6.912
12,58,30.656
12,59,61.312
12,60,6.912
12,61,22577.472
12,62,40.32
12,63,111.29599999999999
12,64,73.568
12,65,4.32
12,66,30.656
12,67,6.912
12,68,23.744
12,69,30.656
12,70,33.248
12,71,4.32
12,72,30.656
12,73,30.656
12,74,6.912
12,75,30.656
12,76,37.568
12,77,30.656
12,78,30.656
12,79,23.744
12,80,30.656
12,81,6.912
12,82,6.912
12,83,30.656
12,84,37.568
12,85,27.2
12,86,10.367999999999999
12,87,23.744
12,88,30.656
12,89,30.656
12,90,30.656
12,91,6.912
12,92,6.912
12,93,23.744
12,94,30.656
12,95,30.656
12,96,30.656
12,97,4.536
12,98,30.656
12,99,0.0
12,100,37.568
12,101,30.656
12,102,30.656
12,103,47.232
12,104,47.232
12,105,87.552
12,106,135.04
12,107,2.592
12,108,4.32
12,109,30.656
12,110,61.312
12,111,30.656
12,112,6.912
12,113,30.656
12,114,30.656
12,115,30.656
12,116,30.656
12,117,3.456
12,118,3.456
12,119,30.656
12,120,30.656
12,121,30.656
12,122,30.656
12,123,6.912
12,124,0.0
12,125,30.656
12,126,6.912
12,127,61.312
12,128,6.912
12,129,30.656
12,130,6.912
12,131,54.4
12,132,0.0
12,133,30.656
12,134,6.912
12,135,61.312
12,136,30.656
12,137,6.912
12,138,30.656
12,139,6.912
12,140,30.656
12,141,30.656
12,142,30.656
12,143,0.0
12,144,30.656
12,145,6.912
12,146,87.552
12,147,78.312
12,148,111.296
12,149,23.744
12,150,6.912
12,151,30.656
12,152,61.312
12,153,30.656
12,154,6.912
12,155,0.0
12,156,37.568
12,157,23.744
12,158,30.656
12,159,30.656
12,160,37.568
12,161,30.656
12,162,6.912
12,163,30.656
12,164,27.2
12,165,10.367999999999999
12,166,30.656
12,167,6.912
12,168,0.0
12,169,30.656
12,170,27.2
12,171,10.367999999999999
12,172,30.656
12,173,30.656
12,174,23.744
12,175,6.912
12,176,30.656
12,177,37.568
12,178,30.656
12,179,30.656
12,180,23.744
12,181,13.824
12,182,23.744
12,183,6.912
12,184,30.656
12,185,60.448
12,186,7.776
12,187,22577.472
12,188,40.32
12,189,111.29599999999999
12,190,70.976
12,191,6.912
12,192,30.656
12,193,6.912
12,194,23.744
12,195,30.656
12,196,30.656
12,197,6.912
12,198,30.656
12,199,30.656
12,200,6.912
12,201,30.656
12,202,37.568
12,203,30.656
12,204,30.656
12,205,23.744
12,206,30.656
12,207,6.912
12,208,6.912
12,209,30.656
12,210,6.912
12,211,57.856
12,212,10.368
12,213,23.744
12,214,30.656
12,215,30.656
12,216,30.656
12,217,6.912
12,218,6.912
12,219,23.744
12,220,30.656
12,221,30.656
12,222,30.656
12,223,4.536
12,224,30.656
12,225,0.0
12,226,37.568
12,227,30.656
12,228,30.656
12,229,47.232
12,230,47.232
12,231,87.552
12,232,135.04
12,233,0.0
12,234,6.912
12,235,30.656
12,236,61.312
12,237,30.656
12,238,6.912
12,239,30.656
12,240,30.656
12,241,30.656
12,242,30.656
12,243,3.456
12,244,3.456
12,245,30.656
12,246,30.656
12,247,6.912
12,248,30.656
12,249,30.656
12,250,0.0
12,251,30.656
