cell,slot,throughput
1,0,676.933
1,1,30.656
1,2,30.656
1,3,6.912
1,4,30.656
1,5,6.912
1,6,23.744
1,7,30.656
1,8,30.656
1,9,6.912
1,10,30.656
1,11,30.656
1,12,6.912
1,13,30.656
1,14,29.792
1,15,38.432
1,16,30.656
1,17,23.744
1,18,6.912
1,19,30.656
1,20,6.912
1,21,49.752
1,22,87.55199999999999
1,23,167.873
1,24,4.32
1,25,30.656
1,26,30.656
1,27,30.656
1,28,30.656
1,29,6.912
1,30,6.912
1,31,23.744
1,32,30.656
1,33,30.656
1,34,30.656
1,35,4.536
1,36,30.656
1,37,0.0
1,38,30.656
1,39,37.568
1,40,30.656
1,41,30.656
1,42,6.912
1,43,6.912
1,44,54.4
1,45,0.0
1,46,6.912
1,47,30.656
1,48,61.312
1,49,30.656
1,50,6.912
1,51,6.912
1,52,30.656
1,53,30.656
1,54,30.656
1,55,27.2
1,56,3.456
1,57,6.912
1,58,30.656
1,59,30.656
1,60,30.656
1,61,30.656
1,62,0.0
1,63,8.352
1,64,117.792
1,65,182.273
1,66,6.912
1,67,6.912
1,68,23.744
1,69,37.568
1,70,23.744
1,71,30.656
1,72,6.912
1,73,61.312
1,74,30.656
1,75,6.912
1,76,27.2
1,77,10.367999999999999
1,78,30.656
1,79,30.656
1,80,30.656
1,81,0.0
1,82,27.2
1,83,10.367999999999999
1,84,30.656
1,85,6.912
1,86,30.656
1,87,23.744
1,88,6.912
1,89,30.656
1,90,37.568
1,91,30.656
1,92,29.792
1,93,0.864
1,94,2618.069
1,95,2088.1440000000002
1,96,2071.312
1,97,3191.7650000000003
1,98,2360.018
1,99,3127.2560000000003
1,100,579127.256
1,101,2088.1440000000002
1,102,3387.898
1,103,520.42
1,104,47.232
1,105,87.552
1,106,16.992
1,107,94.304
1,108,1879.9180000000001
1,109,280.80199999999996
1,110,1578.9560000000001
1,111,3148.76
1,112,2869.206
1,113,1555.212
1,114,2906.069
1,115,2618.069
1,116,3385.306
1,117,3385.306
1,118,1055.944
1,119,2071.312
1,120,1320.906
1,121,1297.162
1,122,3191.7650000000003
1,123,6509.107
1,124,10.367999999999999
1,125,578095.056
1,126,1032.2
1,127,30.656
1,128,1062.856
1,129,1297.162
1,130,1062.856
1,131,1039.112
1,132,2113.9480000000003
1,133,3385.306
1,134,3145.688
1,135,1297.162
1,136,804.806
1,137,3385.306
1,138,1032.2
1,139,1585.868
1,140,27.2
1,141,34.112
1,142,30.656
1,143,30.656
1,144,6.912
1,145,30.656
1,146,0.0
1,147,39.672
1,148,87.552
1,149,182.273
1,150,6.912
1,151,30.656
1,152,30.656
1,153,30.656
1,154,30.656
1,155,6.912
1,156,6.912
1,157,23.744
1,158,30.656
1,159,30.656
1,160,30.656
1,161,4.536
1,162,30.656
1,163,0.0
1,164,30.656
1,165,30.656
1,166,37.568
1,167,30.656
1,168,6.912
1,169,6.912
1,170,54.4
1,171,0.0
1,172,6.912
1,173,30.656
1,174,61.312
1,175,30.656
1,176,6.912
1,177,6.912
1,178,30.656
1,179,30.656
1,180,30.656
1,181,27.2
1,182,3.456
1,183,6.912
1,184,30.656
1,185,30.656
1,186,30.656
1,187,29.792
1,188,0.864
1,189,6.912
1,190,109.152
1,191,192.353
1,192,6.912
1,193,6.912
1,194,23.744
1,195,37.568
1,196,23.744
1,197,30.656
1,198,6.912
1,199,61.312
1,200,30.656
1,201,6.912
1,202,27.2
1,203,10.367999999999999
1,204,30.656
1,205,30.656
1,206,30.656
1,207,0.0
1,208,27.2
1,209,10.367999999999999
1,210,30.656
1,211,6.912
1,212,30.656
1,213,23.744
1,214,6.912
1,215,30.656
1,216,37.568
1,217,30.656
1,218,29.792
1,219,0.864
1,220,37.568
1,221,23.744
1,222,6.912
1,223,30.656
1,224,37.568
1,225,30.656
1,226,30.656
1,227,23.744
1,228,30.656
1,229,6.912
1,230,47.232
1,231,87.552
1,232,16.992
1,233,94.304
1,234,70.976
1,235,6.912
1,236,30.656
1,237,30.656
1,238,30.656
1,239,6.912
1,240,30.656
1,241,37.568
1,242,30.656
1,243,30.656
1,244,23.744
1,245,6.912
1,246,30.656
1,247,6.912
1,248,30.656
1,249,30.656
1,250,37.568
1,251,30.656
1,252,0.0
1,253,30.656
1,254,30.656
1,255,6.912
1,256,30.656
1,257,6.912
1,258,23.744
1,259,30.656
1,260,30.656
1,261,6.912
1,262,30.656
1,263,30.656
1,264,0.0
1,265,37.568
1,266,27.2
1,267,34.112
1,268,30.656
1,269,30.656
1,270,6.912
1,271,30.656
1,272,0.0
1,273,39.672
1,274,87.552
1,275,182.273
1,276,6.912
1,277,30.656
1,278,30.656
1,279,30.656
1,280,30.656
1,281,6.912
1,282,6.912
1,283,23.744
1,284,30.656
1,285,30.656
1,286,6.912
1,287,28.28
1,288,6.912
1,289,23.744
1,290,30.656
1,291,30.656
1,292,37.568
1,293,30.656
1,294,6.912
1,295,6.912
1,296,54.4
1,297,0.0
1,298,6.912
1,299,30.656
1,300,61.312
1,301,30.656
1,302,6.912
1,303,6.912
1,304,30.656
1,305,30.656
1,306,30.656
1,307,27.2
1,308,2.592
1,309,7.776
1,310,30.656
1,311,30.656
1,312,30.656
1,313,27.2
1,314,3.456
1,315,6.912
1,316,99.072
1,317,202.433
1,318,6.912
1,319,6.912
1,320,23.744
1,321,37.568
1,322,23.744
1,323,30.656
1,324,6.912
1,325,37.568
1,326,30.656
1,327,30.656
1,328,27.2
1,329,10.368
1,330,30.656
1,331,30.656
1,332,30.656
1,333,0.0
1,334,27.2
1,335,10.368
1,336,30.656
1,337,0.0
1,338,30.656
1,339,30.656
1,340,6.912
1,341,30.656
1,342,37.568
1,343,30.656
1,344,29.792
1,345,0.864
1,346,30.656
1,347,30.656
1,348,6.912
1,349,30.656
1,350,37.568
1,351,30.656
1,352,30.656
1,353,23.744
1,354,30.656
1,355,6.912
1,356,47.232
1,357,87.552
1,358,16.992
1,359,94.304
1,360,70.976
1,361,6.912
1,362,30.656
1,363,30.656
1,364,30.656
1,365,6.912
1,366,29.792
1,367,7.776
1,368,61.312
1,369,30.656
1,370,23.744
1,371,6.912
1,372,30.656
1,373,6.912
1,374,30.656
1,375,30.656
1,376,30.656
1,377,30.656
1,378,6.912
1,379,30.656
1,380,30.656
1,381,6.912
1,382,30.656
1,383,6.912
1,384,23.744
1,385,30.656
1,386,30.656
1,387,6.912
1,388,30.656
1,389,30.656
1,390,0.0
1,391,30.656
1,392,34.112
1,393,34.112
1,394,30.656
1,395,30.656
1,396,6.912
1,397,30.656
1,398,0.0
1,399,39.672
1,400,87.552
1,401,182.273
1,402,6.912
1,403,6.912
1,404,30.656
1,405,30.656
1,406,30.656
1,407,30.656
1,408,6.912
1,409,0.0
1,410,30.656
1,411,30.656
1,412,30.656
1,413,28.28
1,414,6.912
1,415,23.744
1,416,30.656
1,417,30.656
1,418,37.568
1,419,30.656
1,420,6.912
1,421,0.0
1,422,37.568
1,423,23.744
1,424,6.912
1,425,30.656
1,426,61.312
1,427,30.656
1,428,6.912
1,429,6.912
1,430,30.656
1,431,30.656
1,432,30.656
1,433,27.2
1,434,0.0
1,435,10.367999999999999
1,436,30.656
1,437,30.656
1,438,30.656
1,439,27.2
1,440,3.456
1,441,6.912
1,442,88.992
1,443,188.769
1,444,30.656
1,445,6.912
1,446,23.744
1,447,37.568
1,448,23.744
1,449,6.912
1,450,30.656
1,451,37.568
1,452,30.656
1,453,30.656
1,454,26.336
1,455,4.32
1,456,30.656
1,457,30.656
1,458,30.656
1,459,6.912
1,460,26.336
1,461,4.32
1,462,30.656
1,463,6.912
1,464,30.656
1,465,30.656
1,466,3.456
1,467,10.367999999999999
1,468,61.312
1,469,30.656
1,470,27.2
1,471,3.456
1,472,30.656
1,473,30.656
1,474,6.912
1,475,30.656
1,476,37.568
1,477,30.656
1,478,30.656
1,479,23.744
1,480,30.656
1,481,6.912
1,482,37.152
1,483,87.55199999999999
1,484,27.072
1,485,84.224
1,486,81.056
1,487,6.912
1,488,30.656
1,489,30.656
1,490,30.656
1,491,0.0
1,492,34.112
1,493,10.367999999999999
1,494,54.4
1,495,30.656
1,496,30.656
1,497,6.912
1,498,30.656
1,499,0.0
1,500,30.656
1,501,30.656
1,502,37.568
1,503,30.656
1,504,6.912
1,505,30.656
1,506,30.656
1,507,6.912
1,508,30.656
1,509,6.912
1,510,23.744
1,511,30.656
1,512,30.656
1,513,6.912
1,514,30.656
1,515,30.656
1,516,0.0
1,517,30.656
1,518,33.248
1,519,34.976
1,520,30.656
1,521,30.656
1,522,6.912
1,523,30.656
1,524,0.0
1,525,37.152
1,526,79.992
1,527,192.353
1,528,6.912
1,529,6.912
1,530,30.656
