cell,slot,throughput
22,0,22102.001
22,1,960.167
22,2,262.37
22,3,288.706
22,4,1707.981
22,5,1707.981
22,6,1707.981
22,7,910.087
22,8,6.912
22,9,206.978
22,10,1038.443
22,11,30.656
22,12,30.656
22,13,4.536
22,14,30.656
22,15,0.0
22,16,30.656
22,17,37.568
22,18,30.656
22,19,47.232
22,20,47.232
22,21,77.47200000000001
22,22,145.12
22,23,0.0
22,24,6.912
22,25,30.656
22,26,61.312
22,27,30.656
22,28,6.912
22,29,6.912
22,30,30.656
22,31,30.656
22,32,30.656
22,33,27.2
22,34,3.456
22,35,6.912
22,36,30.656
22,37,30.656
22,38,30.656
22,39,30.656
22,40,0.0
22,41,30.656
22,42,6.912
22,43,61.312
22,44,6.912
22,45,6.912
22,46,23.744
22,47,37.568
22,48,23.744
22,49,30.656
22,50,6.912
22,51,61.312
22,52,30.656
22,53,6.912
22,54,27.2
22,55,10.367999999999999
22,56,30.656
22,57,30.656
22,58,30.656
22,59,0.0
22,60,27.2
22,61,10.367999999999999
22,62,67.392
22,63,87.552
22,64,102.056
22,65,43.903999999999996
22,66,6.912
22,67,30.656
22,68,37.568
22,69,30.656
22,70,29.792
22,71,0.864
22,72,37.568
22,73,23.744
22,74,6.912
22,75,30.656
22,76,37.568
22,77,30.656
22,78,30.656
22,79,23.744
22,80,33.248
22,81,4.32
22,82,30.656
22,83,6.912
22,84,6.912
22,85,23.744
22,86,33.248
22,87,4.32
22,88,30.656
22,89,30.656
22,90,30.656
22,91,6.912
22,92,30.656
22,93,37.568
22,94,30.656
22,95,30.656
22,96,23.744
22,97,6.912
22,98,30.656
22,99,6.912
22,100,30.656
22,101,57.855999999999995
22,102,10.367999999999999
22,103,22557.312
22,104,50.4
22,105,111.29599999999999
22,106,81.056
22,107,6.912
22,108,30.656
22,109,6.912
22,110,23.744
22,111,30.656
22,112,30.656
22,113,6.912
22,114,30.656
22,115,30.656
22,116,0.0
22,117,37.568
22,118,27.2
22,119,34.112
22,120,30.656
22,121,30.656
22,122,6.912
22,123,30.656
22,124,0.0
22,125,30.656
22,126,6.912
22,127,61.312
22,128,6.912
22,129,30.656
22,130,30.656
22,131,30.656
22,132,30.656
22,133,6.912
22,134,6.912
22,135,23.744
22,136,30.656
22,137,30.656
22,138,30.656
22,139,4.536
22,140,30.656
22,141,0.0
22,142,30.656
22,143,30.656
22,144,37.568
22,145,37.152
22,146,57.312
22,147,67.392
22,148,155.2
22,149,0.0
22,150,6.912
22,151,30.656
22,152,61.312
22,153,30.656
22,154,6.912
22,155,6.912
22,156,30.656
22,157,30.656
22,158,30.656
22,159,27.2
22,160,3.456
22,161,6.912
22,162,30.656
22,163,30.656
22,164,30.656
22,165,29.792
22,166,0.864
22,167,30.656
22,168,6.912
22,169,61.312
22,170,6.912
22,171,6.912
22,172,23.744
22,173,1585.868
22,174,797.894
22,175,1191.881
22,176,942.341
22,177,1738.6380000000001
22,178,1707.981
22,179,289555.212
22,180,1188.425
22,181,10.367999999999999
22,182,1191.881
22,183,1707.981
22,184,1578.9560000000001
22,185,129.025
22,186,1588.402
22,187,10.367999999999999
22,188,67.392
22,189,77.47200000000001
22,190,102.056
22,191,570.0840000000001
22,192,652.037
22,193,159.681
22,194,3134.169
22,195,1707.981
22,196,1320.0420000000001
22,197,0.864
22,198,1198.7930000000001
22,199,1184.969
22,200,910.087
22,201,1611.21
22,202,1327.818
22,203,1449.931
22,204,289578.956
22,205,1055.944
22,206,1707.981
22,207,393.987
22,208,804.806
22,209,910.087
22,210,6.912
22,211,23.744
22,212,804.806
22,213,274.178
22,214,673.5409999999999
22,215,1586.535
22,216,1578.9560000000001
22,217,652.037
22,218,1597.388
22,219,1194.762
22,220,1702.157
22,221,1702.157
22,222,538.052
22,223,1168.137
22,224,673.5409999999999
22,225,521.22
22,226,1605.722
22,227,1706.189
22,228,1714.894
22,229,57.312
22,230,22540.32
22,231,111.296
22,232,476.86699999999996
22,233,778.374
22,234,416.387
22,235,649.797
22,236,937.984
22,237,1707.981
22,238,1588.172
22,239,781.062
22,240,288.706
22,241,1707.981
22,242,516.1
22,243,1991.375
22,244,1704.525
22,245,808.2620000000001
22,246,1707.981
22,247,933.831
22,248,1426.1870000000001
22,249,1449.931
22,250,0.0
22,251,708.0350000000001
22,252,910.087
22,253,706.437
22,254,523.0120000000001
22,255,30.656
22,256,1707.981
22,257,1707.981
22,258,1707.981
22,259,1168.137
22,260,6.912
22,261,23.744
22,262,1707.981
22,263,1588.172
22,264,997.005
22,265,28.28
22,266,6.912
22,267,538.052
22,268,1463.371
22,269,2087.888
22,270,937.607
22,271,27.072
22,272,67.392
22,273,57.312
22,274,165.28
22,275,642.885
22,276,521.22
22,277,416.387
22,278,3275.738
22,279,1445.003
22,280,6.912
22,281,6.912
22,282,30.656
22,283,30.656
22,284,30.656
22,285,27.2
22,286,2.592
22,287,7.776
22,288,30.656
22,289,30.656
22,290,30.656
22,291,27.2
22,292,3.456
22,293,30.656
22,294,6.912
22,295,61.312
22,296,6.912
22,297,6.912
22,298,23.744
22,299,37.568
22,300,23.744
22,301,30.656
22,302,6.912
22,303,37.568
22,304,30.656
22,305,30.656
22,306,27.2
22,307,10.368
22,308,30.656
22,309,30.656
22,310,30.656
22,311,0.0
22,312,27.2
22,313,10.368
22,314,57.312
22,315,70.56
22,316,102.056
22,317,70.976
22,318,6.048
22,319,31.52
22,320,37.568
22,321,30.656
22,322,29.792
22,323,0.864
22,324,30.656
22,325,30.656
22,326,6.912
22,327,30.656
22,328,37.568
22,329,30.656
22,330,30.656
22,331,23.744
22,332,30.656
22,333,6.912
22,334,30.656
22,335,6.912
22,336,6.912
22,337,23.744
22,338,30.656
22,339,6.912
22,340,30.656
22,341,30.656
22,342,30.656
22,343,6.912
22,344,29.792
22,345,7.776
22,346,61.312
22,347,30.656
22,348,23.744
22,349,6.912
22,350,30.656
22,351,6.912
22,352,30.656
22,353,30.656
22,354,30.656
22,355,47.232
22,356,22547.232
22,357,111.296
22,358,101.21600000000001
22,359,6.912
22,360,30.656
22,361,6.912
22,362,23.744
22,363,30.656
22,364,30.656
22,365,6.912
22,366,30.656
22,367,30.656
22,368,0.0
22,369,30.656
22,370,34.112
22,371,34.112
22,372,30.656
22,373,30.656
22,374,6.912
22,375,30.656
22,376,0.0
22,377,30.656
22,378,6.912
22,379,61.312
22,380,6.912
22,381,6.912
22,382,30.656
22,383,30.656
22,384,30.656
22,385,30.656
22,386,6.912
22,387,0.0
22,388,30.656
22,389,30.656
22,390,30.656
22,391,28.28
22,392,6.912
22,393,23.744
22,394,30.656
22,395,30.656
22,396,37.568
22,397,16.992
22,398,77.472
22,399,40.32
22,400,158.528
22,401,23.744
22,402,6.912
22,403,30.656
22,404,61.312
