cell,slot,throughput
6,0,22090.353000000003
6,1,30.656
6,2,1055.816
6,3,0.0
6,4,138.945
6,5,1062.856
6,6,1584.588
6,7,1566.668
6,8,1590.0230000000001
6,9,262.37
6,10,6.912
6,11,1621.132
6,12,3134.1690000000003
6,13,1449.067
6,14,7.776
6,15,281.794
6,16,1707.981
6,17,2095.056
6,18,781.062
6,19,1352.296
6,20,85.249
6,21,87.552
6,22,22601.216
6,23,678.9490000000001
6,24,523.0120000000001
6,25,675.7810000000001
6,26,1707.981
6,27,1707.981
6,28,393.987
6,29,1197.871
6,30,523.0120000000001
6,31,675.7810000000001
6,32,1578.9560000000001
6,33,1589.708
6,34,1707.981
6,35,519.556
6,36,139.393
6,37,1449.931
6,38,3028.888
6,39,1704.525
6,40,132.481
6,41,6.912
6,42,1707.981
6,43,6.912
6,44,30.656
6,45,1059.4
6,46,1066.3120000000001
6,47,1707.981
6,48,288933.83099999995
6,49,1707.981
6,50,910.087
6,51,288.706
6,52,1707.981
6,53,781.062
6,54,810.796
6,55,1707.981
6,56,790.278
6,57,159.681
6,58,1589.708
6,59,1707.981
6,60,516.1
6,61,1597.3880000000001
6,62,529.9240000000001
6,63,127.873
6,64,111.29599999999999
6,65,70.976
6,66,1164.681
6,67,292.16200000000003
6,68,387.07500000000005
6,69,1611.21
6,70,1707.981
6,71,2230.994
6,72,546.7560000000001
6,73,289039.11199999996
6,74,1707.981
6,75,1707.981
6,76,1191.881
6,77,6.912
6,78,1062.856
6,79,529.0020000000001
6,80,1707.981
6,81,1588.172
6,82,1191.881
6,83,6.912
6,84,1578.9560000000001
6,85,129.025
6,86,30.656
6,87,675.7810000000001
6,88,811.7180000000001
6,89,1707.981
6,90,1426.1870000000001
6,91,926.9190000000001
6,92,1972.943
6,93,0.0
6,94,288.706
6,95,1611.21
6,96,3286.938
6,97,1039.112
6,98,6.912
6,99,1320.906
6,100,1707.981
6,101,1707.981
6,102,1575.5
6,103,10.367999999999999
6,104,0.0
6,105,77.47200000000001
6,106,78.19200000000001
6,107,101.216
6,108,1208.585
6,109,7.992
6,110,539.844
6,111,1168.1370000000002
6,112,1872.846
6,113,2613.141
6,114,6.912
6,115,1449.931
6,116,796.102
6,117,2480.531
6,118,1054.6
6,119,523.0120000000001
6,120,6.912
6,121,3286.938
6,122,1707.981
6,123,289191.881
6,124,0.0
6,125,933.831
6,126,781.062
6,127,30.656
6,128,936.423
6,129,129.889
6,130,132.481
6,131,933.831
6,132,1588.172
6,133,1578.9560000000001
6,134,1589.708
6,135,393.987
6,136,6.912
6,137,1597.388
6,138,3028.888
6,139,1575.5
6,140,10.367999999999999
6,141,152.769
6,142,1707.981
6,143,2224.081
6,144,652.037
6,145,1478.729
6,146,77.761
6,147,87.552
6,148,22601.216
6,149,560.004
6,150,652.037
6,151,546.7560000000001
6,152,1707.981
6,153,1707.981
6,154,523.0120000000001
6,155,1068.846
