cell,slot,throughput
16,0,22095.089
16,1,30.656
16,2,417.731
16,3,811.7180000000001
16,4,1707.981
16,5,1426.1870000000001
16,6,926.9190000000001
16,7,2230.129
16,8,0.864
16,9,30.656
16,10,1611.21
16,11,3392.219
16,12,1191.881
16,13,6.912
16,14,1062.856
16,15,1707.981
16,16,1707.981
16,17,1704.525
16,18,139.393
16,19,0.0
16,20,57.312
16,21,87.55199999999999
16,22,101.936
16,23,959.751
16,24,259.994
16,25,546.7560000000001
16,26,910.087
16,27,1879.182
16,28,2875.255
16,29,7.776
16,30,1449.931
16,31,539.844
16,32,1707.981
16,33,2095.056
16,34,522.148
16,35,7.776
16,36,3028.888
16,37,1707.981
16,38,289446.475
16,39,3.456
16,40,675.7810000000001
16,41,1039.112
16,42,30.656
16,43,675.7810000000001
16,44,390.531
16,45,132.481
16,46,675.7810000000001
16,47,1588.172
16,48,1578.9560000000001
16,49,1589.708
16,50,652.037
16,51,6.912
16,52,1339.338
16,53,1707.981
16,54,3025.4320000000002
16,55,139.393
16,56,23.744
16,57,1684.237
16,58,2376.85
16,59,393.987
16,60,1607.7540000000001
16,61,139.393
16,62,127.873
16,63,111.29599999999999
16,64,22818.946
16,65,910.087
16,66,288.706
16,67,1707.981
16,68,1707.981
16,69,781.062
16,70,810.796
16,71,910.087
16,72,288.706
16,73,1578.9560000000001
16,74,1589.708
16,75,1707.981
16,76,516.1
16,77,523.0120000000001
16,78,1069.768
16,79,3021.976
16,80,1707.981
16,81,523.0120000000001
16,82,6.912
16,83,1707.981
16,84,0.0
16,85,30.656
16,86,675.7810000000001
16,87,1069.768
16,88,1707.981
16,89,289039.11199999996
16,90,1707.981
16,91,1191.881
16,92,6.912
16,93,1707.981
16,94,1062.856
16,95,529.0020000000001
16,96,1707.981
16,97,1072.0720000000001
16,98,6.912
16,99,1460.683
16,100,1707.981
16,101,668.869
16,102,1339.338
16,103,910.0870000000001
16,104,104.545
16,105,111.296
16,106,77.472
16,107,929.511
16,108,269.28200000000004
16,109,668.869
16,110,1320.906
16,111,1611.21
16,112,2618.069
16,113,159.681
16,114,289426.187
16,115,1320.906
16,116,1707.981
16,117,1575.5
16,118,10.367999999999999
16,119,1062.856
16,120,258.05
16,121,1591.8580000000002
16,122,1588.172
16,123,1575.5
16,124,10.367999999999999
16,125,1191.881
16,126,516.1
16,127,6.912
16,128,312.45000000000005
16,129,916.999
16,130,1707.981
16,131,1449.931
16,132,797.894
16,133,2356.562
16,134,3.456
16,135,6.912
16,136,1611.21
16,137,3286.938
16,138,1320.906
16,139,6.912
16,140,926.9190000000001
16,141,1707.981
16,142,1707.981
16,143,1710.573
16,144,262.37
16,145,6.912
16,146,40.32
16,147,87.552
16,148,101.936
16,149,845.126
16,150,391.611
16,151,546.7560000000001
16,152,781.062
16,153,1984.463
16,154,2896.407
16,155,10.367999999999999
16,156,1320.906
16,157,539.844
16,158,1707.981
16,159,2224.081
16,160,519.556
16,161,10.367999999999999
16,162,2899.8630000000003
16,163,1707.981
16,164,289575.5
16,165,3.456
16,166,546.7560000000001
16,167,1168.1370000000002
16,168,30.656
16,169,546.7560000000001
16,170,519.556
16,171,132.481
16,172,546.7560000000001
16,173,1588.172
16,174,1578.9560000000001
16,175,1589.708
16,176,781.062
16,177,0.0
16,178,1217.225
16,179,1707.981
16,180,3024.568
16,181,262.37
16,182,30.656
16,183,1555.212
16,184,2376.85
16,185,387.07500000000005
16,186,1613.8020000000001
16,187,262.37
16,188,134.785
16,189,111.29599999999999
16,190,22689.921
16,191,1039.112
16,192,159.681
16,193,1707.981
16,194,1707.981
16,195,910.087
16,196,681.771
16,197,1039.112
16,198,159.681
16,199,1578.9560000000001
16,200,3148.76
16,201,3385.306
16,202,1032.2
16,203,1297.162
16,204,1837.006
16,205,5996.463
16,206,3385.306
16,207,1297.162
16,208,6.912
16,209,1702.1570000000002
16,210,0.0
16,211,30.656
16,212,544.9639999999999
16,213,1066.184
16,214,2087.888
16,215,576321.2980000001
16,216,3116.504
16,217,2602.196
16,218,6.912
16,219,3116.504
16,220,2345.042
16,221,1028.616
16,222,3142.219
16,223,2363.41
16,224,6.912
16,225,2632.6600000000003
16,226,3385.306
16,227,1572.044
16,228,2611.156
16,229,1850.1249999999998
16,230,94.465
16,231,111.29599999999999
16,232,87.552
16,233,1572.044
16,234,787.974
16,235,1313.9940000000001
16,236,2353.106
16,237,3191.7650000000003
16,238,5456.619
16,239,30.656
16,240,579103.512
16,241,2353.106
16,242,3385.306
16,243,3381.85
16,244,10.367999999999999
16,245,2087.888
16,246,257.154
16,247,3142.219
16,248,3142.104
16,249,3381.85
16,250,10.368
16,251,2087.888
16,252,1285.77
16,253,6.912
16,254,311.554
16,255,2071.056
16,256,3116.504
16,257,3116.504
16,258,1309.5140000000001
16,259,3762.845
16,260,3.456
16,261,6.912
16,262,1477.145
16,263,3286.4900000000002
16,264,1449.067
16,265,7.776
16,266,795.206
16,267,1702.157
16,268,1704.845
16,269,2488.851
16,270,784.422
16,271,6.912
16,272,40.32
16,273,87.552
16,274,101.936
16,275,1366.826
16,276,1041.2160000000001
16,277,1067.336
16,278,1302.7620000000002
16,279,3955.2290000000003
16,280,6018.767
16,281,10.367999999999999
16,282,1191.881
16,283,539.844
16,284,1702.157
16,285,4690.117
16,286,1035.656
16,287,10.367999999999999
16,288,2355.122
16,289,6501.811
16,290,3381.8500000000004
16,291,576003.456
16,292,804.806
16,293,2587.4120000000003
16,294,30.656
16,295,804.806
16,296,1293.7060000000001
16,297,261.50600000000003
16,298,802.1179999999999
16,299,3134.872
16,300,3118.296
16,301,3148.76
16,302,1813.262
16,303,0.0
16,304,2131.535
16,305,3373.658
16,306,5974.319
16,307,781.062
16,308,30.656
16,309,2835.6059999999998
16,310,4697.509
16,311,774.1500000000001
16,312,3191.7650000000003
16,313,781.062
16,314,134.785
16,315,111.29599999999999
16,316,22560.895999999997
16,317,1164.105
16,318,30.656
16,319,3373.658
16,320,3385.306
16,321,2071.312
16,322,1081.748
16,323,2329.362
16,324,30.656
16,325,3361.562
16,326,3148.76
16,327,3385.306
16,328,1055.944
16,329,1297.162
16,330,1222.796
16,331,5580.942
16,332,3385.306
16,333,1555.212
16,334,6.912
16,335,3373.6580000000004
16,336,0.0
16,337,30.656
16,338,804.806
16,339,2101.968
16,340,3385.306
16,341,578587.412
16,342,2869.206
16,343,2868.342
16,344,7.776
16,345,2869.206
16,346,2611.156
16,347,774.1500000000001
16,348,3153.06
16,349,2628.724
16,350,7.776
16,351,2611.156
16,352,3148.76
16,353,1830.094
16,354,2353.106
16,355,2108.175
16,356,94.465
16,357,111.29599999999999
16,358,87.552
16,359,1313.9940000000001
16,360,1046.0240000000001
16,361,1313.9940000000001
16,362,2095.056
16,363,3191.7650000000003
16,364,5714.669
16,365,6.912
16,366,579127.2559999999
16,367,2095.056
16,368,3385.306
16,369,3381.8500000000004
16,370,268.418
16,371,2095.056
16,372,0.0
16,373,3153.06
16,374,3385.306
16,375,3142.232
16,376,261.50600000000003
16,377,1837.006
