cell,slot,throughput
14,0,22102.001
14,1,30.656
14,2,929.511
14,3,259.202
14,4,546.7560000000001
14,5,910.087
14,6,1879.182
14,7,2875.255
14,8,7.776
14,9,1449.931
14,10,539.844
14,11,1707.981
14,12,2095.056
14,13,522.148
14,14,7.776
14,15,3028.888
14,16,1707.981
14,17,289446.475
14,18,3.456
14,19,47.232
14,20,87.552
14,21,111.29599999999999
14,22,716.101
14,23,390.531
14,24,132.481
14,25,675.7810000000001
14,26,1588.172
14,27,1578.9560000000001
14,28,1589.708
14,29,652.037
14,30,6.912
14,31,1334.7939999999999
14,32,1707.085
14,33,3025.4320000000002
14,34,139.393
14,35,23.744
14,36,1684.237
14,37,2376.85
14,38,393.987
14,39,1607.7540000000001
14,40,139.393
14,41,1707.982
14,42,30.656
14,43,288.706
14,44,910.087
14,45,288.706
14,46,1707.981
14,47,1707.981
14,48,781.062
14,49,810.796
14,50,910.087
14,51,288.706
14,52,1578.9560000000001
14,53,1589.708
14,54,1707.981
14,55,516.1
14,56,523.0120000000001
14,57,1069.768
14,58,3021.976
14,59,1707.981
14,60,523.0120000000001
14,61,6.912
14,62,97.63199999999999
14,63,30.240000000000002
14,64,103.736
14,65,716.101
14,66,1069.768
14,67,1707.981
14,68,289039.11199999996
14,69,1707.981
14,70,1191.881
14,71,6.912
14,72,1707.981
14,73,1062.856
14,74,529.0020000000001
14,75,1707.981
14,76,1072.0720000000001
14,77,6.912
14,78,1460.683
14,79,1707.981
14,80,668.869
14,81,1339.338
14,82,910.0870000000001
14,83,1714.8940000000002
14,84,30.656
14,85,6.912
14,86,929.511
14,87,269.28200000000004
14,88,668.869
14,89,1320.906
14,90,1611.21
14,91,2618.069
14,92,159.681
14,93,289426.187
14,94,1320.906
14,95,1707.981
14,96,1575.5
14,97,10.367999999999999
14,98,1062.856
14,99,258.05
14,100,1591.8580000000002
14,101,1588.172
14,102,1575.5
14,103,10.367999999999999
14,104,67.392
14,105,50.4
14,106,57.312
14,107,384.45000000000005
14,108,916.999
14,109,1707.981
14,110,1449.931
14,111,797.894
14,112,2356.562
14,113,3.456
14,114,6.912
14,115,1611.21
14,116,3286.938
14,117,1320.906
14,118,6.912
14,119,926.9190000000001
14,120,1707.981
14,121,1707.981
14,122,1710.573
14,123,262.37
14,124,6.912
14,125,926.9190000000001
14,126,781.062
14,127,30.656
14,128,804.806
14,129,390.819
14,130,546.7560000000001
14,131,781.062
14,132,1984.463
14,133,2896.407
14,134,10.367999999999999
14,135,1320.906
14,136,539.844
14,137,1707.981
14,138,2224.081
14,139,519.556
14,140,10.367999999999999
14,141,2899.8630000000003
14,142,1707.981
14,143,289575.5
14,144,3.456
14,145,37.152
14,146,87.55199999999999
14,147,111.29599999999999
14,148,597.156
14,149,519.556
14,150,132.481
14,151,546.7560000000001
14,152,1588.172
14,153,1578.9560000000001
14,154,1589.708
14,155,781.062
14,156,0.0
14,157,1217.225
14,158,1707.981
14,159,3024.568
14,160,262.37
14,161,30.656
14,162,1555.212
14,163,2376.85
14,164,387.07500000000005
14,165,1613.8020000000001
14,166,262.37
14,167,1714.8940000000002
14,168,30.656
14,169,159.681
14,170,1039.112
14,171,159.681
14,172,1707.981
14,173,1707.981
14,174,910.087
14,175,681.771
14,176,1039.112
14,177,159.681
14,178,1578.9560000000001
14,179,1589.708
14,180,1707.981
14,181,516.1
14,182,652.037
14,183,933.831
14,184,3028.8880000000004
14,185,1707.981
14,186,652.037
14,187,6.912
14,188,87.55199999999999
14,189,40.32
14,190,101.216
14,191,589.596
14,192,1069.768
14,193,1707.981
14,194,289168.137
14,195,1578.9560000000001
14,196,1320.906
14,197,6.912
14,198,1578.9560000000001
14,199,1191.881
14,200,516.1
14,201,1591.8580000000002
14,202,1201.097
14,203,6.912
14,204,1331.6580000000001
14,205,1707.981
14,206,797.894
14,207,1320.906
14,208,928.5190000000001
14,209,1714.8940000000002
14,210,30.656
14,211,6.912
14,212,797.894
14,213,400.899
14,214,668.869
14,215,1191.881
14,216,1611.21
14,217,2747.094
14,218,30.656
14,219,289555.212
14,220,1191.881
14,221,1707.981
14,222,1704.525
14,223,10.367999999999999
14,224,1062.856
14,225,129.025
14,226,1591.8580000000002
14,227,1588.172
14,228,1704.525
14,229,10.368
14,230,57.312
14,231,60.480000000000004
14,232,57.312
14,233,255.425
14,234,1046.0240000000001
14,235,1573.58
14,236,1573.58
14,237,667.973
14,238,2485.587
14,239,3.456
14,240,6.912
14,241,1477.145
14,242,3280.666
14,243,1449.067
14,244,7.776
14,245,795.206
14,246,1704.845
14,247,1707.981
14,248,1707.981
14,249,393.987
14,250,6.912
14,251,795.206
14,252,906.951
14,253,30.656
14,254,673.5409999999999
14,255,518.052
14,256,544.9639999999999
14,257,649.797
14,258,1982.671
14,259,3025.4320000000002
14,260,10.367999999999999
14,261,1191.881
14,262,539.844
14,263,1707.981
14,264,2315.026
14,265,489.092
14,266,10.367999999999999
14,267,30.656
14,268,61.312
14,269,27.2
14,270,3.456
14,271,27.072
14,272,87.552
14,273,111.296
14,274,91.136
14,275,3.456
14,276,3.456
14,277,30.656
14,278,30.656
14,279,30.656
14,280,30.656
14,281,6.912
14,282,0.0
14,283,37.568
14,284,30.656
14,285,54.4
14,286,6.912
14,287,30.656
14,288,6.912
14,289,54.4
14,290,0.0
14,291,30.656
14,292,6.912
14,293,37.568
14,294,30.656
14,295,30.656
14,296,6.912
14,297,30.656
14,298,30.656
14,299,30.656
14,300,6.912
14,301,23.744
14,302,6.912
14,303,30.656
14,304,6.912
14,305,30.656
14,306,30.656
14,307,23.744
14,308,6.912
14,309,30.656
14,310,61.312
14,311,30.656
14,312,6.912
14,313,6.912
14,314,87.55199999999999
14,315,40.32
14,316,91.136
14,317,83.576
14,318,37.568
14,319,30.656
14,320,6.912
14,321,30.656
14,322,29.792
14,323,7.776
14,324,30.656
14,325,30.656
14,326,0.0
14,327,30.656
14,328,29.792
14,329,7.776
14,330,30.656
14,331,30.656
14,332,23.744
14,333,30.656
14,334,6.912
14,335,37.568
14,336,30.656
14,337,6.912
14,338,23.744
14,339,13.824
14,340,23.744
14,341,30.656
14,342,30.656
14,343,37.568
14,344,6.912
14,345,30.656
14,346,30.656
14,347,30.656
14,348,27.2
14,349,10.368
14,350,30.656
14,351,0.0
14,352,30.656
14,353,30.656
14,354,27.2
14,355,3.456
14,356,47.232
14,357,77.47200000000001
14,358,57.312
14,359,126.4
14,360,13.824
14,361,30.656
14,362,30.656
14,363,23.744
14,364,30.656
14,365,6.912
14,366,6.912
14,367,30.656
14,368,61.312
14,369,27.2
14,370,10.367999999999999
14,371,23.744
14,372,30.656
14,373,30.656
14,374,30.656
14,375,6.912
14,376,6.912
14,377,23.744
14,378,6.912
14,379,30.656
14,380,30.656
14,381,3.744
14,382,30.656
14,383,6.912
14,384,30.656
14,385,30.656
14,386,37.568
14,387,30.656
14,388,23.744
14,389,6.912
14,390,54.4
14,391,3.456
14,392,10.368
14,393,30.656
14,394,54.4
14,395,33.248
14,396,4.32
14,397,16.992
14,398,87.55199999999999
14,399,111.296
14,400,101.21600000000001
14,401,3.456
14,402,3.456
14,403,30.656
14,404,30.656
14,405,30.656
14,406,30.656
14,407,6.912
14,408,0.0
14,409,30.656
14,410,37.568
14,411,54.4
14,412,6.912
14,413,30.656
14,414,6.912
14,415,54.4
14,416,0.0
14,417,30.656
14,418,6.912
14,419,37.568
14,420,30.656
14,421,6.912
14,422,30.656
14,423,6.912
14,424,30.656
14,425,30.656
14,426,30.656
14,427,0.0
14,428,30.656
14,429,6.912
14,430,30.656
14,431,30.656
14,432,30.656
14,433,23.744
14,434,6.912
14,435,30.656
14,436,61.312
14,437,30.656
14,438,6.912
14,439,0.0
14,440,94.464
14,441,40.32
14,442,81.056
14,443,93.656
14,444,37.568
14,445,30.656
14,446,6.912
14,447,30.656
14,448,27.2
14,449,10.367999999999999
14,450,30.656
14,451,2095.056
14,452,516.1
14,453,3153.06
14,454,2884.1820000000002
14,455,10.367999999999999
14,456,2353.106
14,457,3148.76
14,458,2088.1440000000002
14,459,2329.362
14,460,2131.919
14,461,3392.219
14,462,6.912
14,463,30.656
14,464,1055.944
14,465,1304.074
14,466,1313.9940000000001
14,467,2071.312
14,468,3191.7650000000003
14,469,5738.4130000000005
14,470,6.912
14,471,578869.206
14,472,2088.1440000000002
14,473,3385.306
14,474,3387.898
14,475,520.42
14,476,1837.006
14,477,264.962
14,478,2888.098
14,479,3385.306
14,480,3148.28
14,481,520.42
14,482,47.232
14,483,77.47200000000001
14,484,47.232
14,485,112.73599999999999
14,486,2360.018
14,487,2611.156
14,488,3385.306
14,489,1055.944
14,490,3385.306
14,491,2071.312
14,492,6.912
14,493,2417.6150000000002
14,494,6512.563
14,495,3381.85
14,496,10.367999999999999
14,497,1055.944
14,498,3385.306
14,499,3385.306
14,500,3385.306
14,501,1297.162
14,502,6.912
14,503,1055.944
14,504,2329.362
14,505,30.656
14,506,802.1179999999999
14,507,1546.668
14,508,30.656
14,509,0.0
14,510,37.568
14,511,30.656
14,512,30.656
14,513,30.656
14,514,30.656
14,515,6.912
14,516,54.4
14,517,2.592
14,518,4.32
14,519,30.656
14,520,61.312
14,521,30.656
14,522,6.912
14,523,6.912
14,524,87.552
14,525,111.29599999999999
14,526,111.29599999999999
14,527,3.456
14,528,3.456
14,529,30.656
14,530,30.656
14,531,30.656
14,532,30.656
14,533,6.912
14,534,0.0
14,535,30.656
14,536,30.656
14,537,61.312
14,538,6.912
14,539,30.656
14,540,6.912
14,541,54.4
14,542,0.0
14,543,30.656
14,544,6.912
14,545,37.568
14,546,30.656
14,547,6.912
14,548,30.656
14,549,6.912
14,550,30.656
14,551,30.656
14,552,30.656
14,553,0.0
14,554,30.656
14,555,6.912
14,556,30.656
14,557,30.656
14,558,30.656
14,559,23.744
14,560,6.912
14,561,30.656
14,562,61.312
14,563,30.656
14,564,6.912
14,565,0.0
14,566,94.464
14,567,40.32
14,568,70.976
14,569,103.736
14,570,37.568
14,571,30.656
14,572,6.912
14,573,30.656
14,574,27.2
14,575,10.367999999999999
14,576,30.656
14,577,30.656
14,578,0.0
14,579,30.656
14,580,27.2
14,581,10.367999999999999
14,582,30.656
14,583,30.656
14,584,23.744
14,585,6.912
14,586,30.656
14,587,37.568
14,588,6.912
14,589,30.656
14,590,23.744
14,591,13.824
14,592,23.744
14,593,6.912
14,594,30.656
14,595,60.448
14,596,7.776
14,597,30.656
14,598,23.744
14,599,30.656
14,600,30.656
14,601,6.912
14,602,30.656
14,603,6.912
14,604,23.744
14,605,30.656
14,606,30.656
14,607,6.912
14,608,47.232
14,609,77.47200000000001
14,610,37.152
14,611,122.816
14,612,37.568
14,613,30.656
14,614,30.656
14,615,23.744
14,616,30.656
14,617,6.912
14,618,6.912
14,619,30.656
14,620,30.656
14,621,57.856
14,622,10.368
14,623,23.744
14,624,30.656
14,625,30.656
14,626,30.656
14,627,6.912
14,628,6.912
14,629,23.744
14,630,6.912
14,631,30.656
14,632,30.656
14,633,3.744
14,634,30.656
14,635,0.0
14,636,37.568
14,637,30.656
14,638,30.656
14,639,30.656
14,640,30.656
14,641,6.912
14,642,54.4
14,643,0.0
14,644,6.912
14,645,30.656
14,646,61.312
14,647,30.656
14,648,6.912
14,649,6.912
14,650,87.552
14,651,111.29599999999999
14,652,111.29599999999999
14,653,3.456
14,654,3.456
14,655,30.656
14,656,30.656
14,657,6.912
14,658,30.656
14,659,30.656
14,660,0.0
14,661,30.656
14,662,30.656
14,663,61.312
14,664,6.912
14,665,30.656
14,666,6.912
14,667,54.4
14,668,0.0
14,669,30.656
14,670,6.912
14,671,37.568
14,672,30.656
14,673,6.912
14,674,30.656
14,675,6.912
14,676,30.656
14,677,30.656
14,678,30.656
14,679,0.0
14,680,29.792
14,681,7.776
