cell,slot,throughput
7,0,23492.156000000003
7,1,30.656
7,2,929.511
7,3,259.202
7,4,544.9639999999999
7,5,906.951
7,6,1878.286
7,7,2875.255
7,8,7.776
7,9,1449.931
7,10,539.844
7,11,1707.981
7,12,2095.056
7,13,522.148
7,14,7.776
7,15,3028.888
7,16,1707.981
7,17,289446.475
7,18,3.456
7,19,47.232
7,20,87.552
7,21,111.29599999999999
7,22,716.101
7,23,390.531
7,24,132.481
7,25,675.7810000000001
7,26,1588.172
7,27,1578.9560000000001
7,28,1589.708
7,29,652.037
7,30,6.912
7,31,1339.338
7,32,1707.981
7,33,3025.4320000000002
7,34,139.393
7,35,23.744
7,36,1684.237
7,37,2376.85
7,38,393.987
7,39,1607.7540000000001
7,40,139.393
7,41,1707.982
7,42,30.656
7,43,288.706
7,44,910.087
7,45,288.706
7,46,1707.981
7,47,1707.981
7,48,781.062
7,49,810.796
7,50,910.087
7,51,288.706
7,52,1578.9560000000001
7,53,1589.708
7,54,1707.981
7,55,516.1
7,56,523.0120000000001
7,57,1069.768
7,58,3021.976
7,59,1707.981
7,60,523.0120000000001
7,61,6.912
7,62,97.63199999999999
7,63,30.240000000000002
7,64,103.736
7,65,716.101
7,66,1069.768
7,67,1707.981
7,68,289039.11199999996
7,69,1707.981
7,70,1191.881
7,71,6.912
7,72,1707.981
7,73,1062.856
7,74,529.0020000000001
7,75,1707.981
7,76,1072.0720000000001
7,77,6.912
7,78,1460.683
7,79,1707.981
7,80,668.869
7,81,1339.338
7,82,910.0870000000001
7,83,1714.8940000000002
7,84,30.656
7,85,6.912
7,86,929.511
7,87,269.28200000000004
7,88,668.869
7,89,1320.906
7,90,1611.21
7,91,2618.069
7,92,159.681
7,93,289426.187
7,94,1320.906
7,95,1707.981
7,96,1575.5
7,97,10.367999999999999
7,98,1062.856
7,99,258.05
7,100,1591.8580000000002
7,101,1588.172
7,102,1575.5
7,103,10.367999999999999
7,104,67.392
7,105,50.4
7,106,57.312
7,107,384.45000000000005
7,108,916.999
7,109,1707.981
7,110,1445.003
7,111,795.206
7,112,2352.5299999999997
7,113,3.456
7,114,6.912
7,115,1611.21
7,116,3286.938
7,117,1320.906
7,118,6.912
7,119,926.9190000000001
7,120,1707.981
7,121,1707.981
7,122,1710.573
7,123,262.37
7,124,6.912
7,125,926.9190000000001
7,126,781.062
7,127,30.656
7,128,804.806
7,129,390.819
7,130,546.7560000000001
7,131,781.062
7,132,1984.463
7,133,2896.407
7,134,10.367999999999999
7,135,1316.426
7,136,538.5
7,137,1707.981
7,138,2224.081
7,139,519.556
7,140,10.367999999999999
7,141,2894.0389999999998
7,142,1707.981
7,143,289575.5
7,144,3.456
7,145,37.152
7,146,87.55199999999999
7,147,111.29599999999999
7,148,597.156
7,149,519.556
7,150,132.481
7,151,546.7560000000001
7,152,1586.38
