cell,slot,throughput
24,0,23395.644
24,1,30.656
24,2,1326.506
24,3,1043.592
24,4,1326.506
24,5,784.422
24,6,2382.19
24,7,3399.866
24,8,3159.208
24,9,1043.592
24,10,1067.336
24,11,3399.866
24,12,1043.592
24,13,2635.188
24,14,2277.652
24,15,1749.808
24,16,2804.474
24,17,1088.874
24,18,2683.0660000000003
24,19,2363.187
24,20,6.912
24,21,49.752
24,22,87.55199999999999
24,23,1717.071
24,24,446.948
24,25,547.204
24,26,3390.01
24,27,3353.722
24,28,3099.034
24,29,1656.462
24,30,6.912
24,31,280.898
24,32,1963.343
24,33,2898.918
24,34,1677.741
24,35,1827.016
24,36,289.826
24,37,1036.68
24,38,3019.9590000000003
24,39,3879.647
24,40,3659.0370000000003
24,41,1136.106
24,42,1775.632
24,43,6.912
24,44,572.74
24,45,777.51
24,46,1043.592
24,47,1211.1460000000002
24,48,6261.906
24,49,3035.866
24,50,494391.272
24,51,6.912
24,52,1707.981
24,53,3399.866
24,54,2992.186
24,55,2100.56
24,56,262.62600000000003
24,57,6.912
24,58,2613.0
24,59,2769.752
24,60,3131.3810000000003
24,61,2279.636
24,62,0.0
24,63,8.352
24,64,117.792
24,65,624.453
24,66,1554.542
24,67,6.912
24,68,1521.1979999999999
24,69,4183.62
24,70,1160.554
24,71,2291.732
24,72,1388.721
24,73,3264.3149999999996
24,74,2911.994
24,75,512017.75
24,76,2359.73
24,77,10.367999999999999
24,78,2622.356
24,79,3399.866
24,80,2630.646
24,81,455.62
24,82,2495.41
24,83,10.367999999999999
24,84,2020.4660000000001
24,85,891.272
24,86,30.656
24,87,1060.424
24,88,1302.762
24,89,487.172
24,90,5917.617
24,91,2998.01
24,92,2362.322
24,93,0.864
24,94,2248.466
24,95,1792.464
24,96,1775.632
24,97,1611.21
24,98,2027.378
24,99,2764.376
24,100,512269.304
24,101,2066.192
24,102,3402.458
24,103,522.66
24,104,47.232
24,105,87.552
24,106,16.992
24,107,94.304
24,108,1668.238
24,109,248.40200000000002
24,110,1357.196
24,111,2742.48
24,112,2662.0060000000003
24,113,1561.932
24,114,2918.549
24,115,2315.667
24,116,3305.786
24,117,3399.866
24,118,1060.424
24,119,2080.272
24,120,1100.266
24,121,1076.522
24,122,2717.501
24,123,5678.287
24,124,10.367999999999999
24,125,513865.68
24,126,917.512
24,127,30.656
24,128,1067.336
24,129,1302.762
24,130,919.4960000000001
24,131,895.7520000000001
24,132,1846.044
24,133,2992.186
24,134,2753.768
24,135,1112.362
24,136,808.166
24,137,3285.626
24,138,884.36
24,139,2543.765
24,140,2746.8050000000003
24,141,1848.3020000000001
24,142,3180.346
24,143,1397.516
24,144,3116.952
24,145,2622.357
24,146,0.0
24,147,39.672
24,148,87.552
24,149,1737.2930000000001
24,150,784.422
24,151,289.826
24,152,3399.866
24,153,3399.866
24,154,3399.866
24,155,2080.272
24,156,6.912
24,157,252.002
24,158,3028.922
24,159,3029.063
24,160,1578.9560000000001
24,161,2054.826
24,162,30.656
24,163,1036.68
24,164,3177.719
24,165,4177.376
24,166,3646.909
24,167,1067.336
24,168,2339.442
24,169,6.912
24,170,183.425
24,171,516.1
24,172,523.0120000000001
24,173,973.2560000000001
24,174,6214.642000000001
24,175,3019.0660000000003
24,176,579802.762
24,177,6.912
24,178,3140.6960000000004
24,179,3023.5460000000003
24,180,1806.766
24,181,1978.705
