cell,slot,throughput
15,0,62158.225
15,1,30.656
15,2,23.744
15,3,3490.587
15,4,1892.1109999999999
15,5,1123.7849999999999
15,6,4591.216
15,7,4988.711
15,8,5449.707
15,9,2730.773
15,10,863689.557
15,11,4792.039
15,12,4902.471
15,13,2716.437
15,14,792.71
15,15,2293.074
15,16,2360.104
15,17,5062.631
15,18,4703.2029999999995
15,19,2716.437
15,20,6.912
15,21,87.552
15,22,40.32
15,23,102.656
15,24,2999.0
15,25,1958.7330000000002
15,26,4084.187
15,27,2525.137
15,28,3138.4619999999995
15,29,4195.746999999999
15,30,0.0
15,31,1042.637
15,32,3126.138
15,33,7898.241000000001
15,34,1721.647
15,35,6.912
15,36,4488.967
15,37,4590.887
15,38,4488.967
15,39,3187.739
15,40,6.912
15,41,0.0
15,42,4590.887
15,43,6.912
15,44,30.656
15,45,2970.875
15,46,6.912
15,47,1331.9160000000002
15,48,3348.317
15,49,5229.071
15,50,5464.014
15,51,729.99
15,52,3853.249
15,53,2313.045
15,54,6251.382
15,55,1890.799
15,56,1500.556
15,57,547.204
15,58,8020.32
15,59,4783.079000000001
15,60,818565.909
15,61,6.912
15,62,77.47200000000001
15,63,87.552
15,64,111.29599999999999
15,65,2961.848
15,66,365.571
15,67,10.367999999999999
15,68,3066.49
15,69,4324.772
15,70,4783.079000000001
15,71,4444.5160000000005
15,72,3.456
15,73,6.912
15,74,5224.617
15,75,8811.271
15,76,3514.331
15,77,6.912
15,78,1572.0439999999999
15,79,7391.994
15,80,3120.344
15,81,3103.5119999999997
15,82,3046.612
15,83,4424.42
15,84,372.483
15,85,30.656
15,86,2735.861
15,87,778.47
15,88,2740.181
15,89,5062.630999999999
15,90,5062.630999999999
15,91,393.987
15,92,4322.8679999999995
15,93,778.47
15,94,2740.181
15,95,4675.556
15,96,4707.812
15,97,4288.481
15,98,1938.831
15,99,10.367999999999999
15,100,8946.566
15,101,5049.191
15,102,4668.068
15,103,3.456
15,104,6.912
15,105,127.872
15,106,37.152
15,107,103.736
15,108,3519.227
15,109,3502.235
15,110,868670.18
15,111,3120.344
15,112,5062.631
15,113,1942.287
15,114,1578.956
15,115,5062.631
15,116,1555.212
15,117,3159.051
15,118,5062.631
15,119,1582.859
15,120,1191.8809999999999
15,121,4707.812
15,122,5062.630999999999
15,123,1548.3
15,124,5508.457
15,125,10.367999999999999
15,126,5062.632
15,127,30.656
15,128,30.656
15,129,3490.587
15,130,1578.956
15,131,1161.225
15,132,4772.3189999999995
15,133,5062.630999999999
15,134,5843.694
15,135,2353.1059999999998
15,136,866740.181
15,137,5062.630999999999
15,138,5062.630999999999
15,139,3103.5119999999997
15,140,416.387
15,141,2707.029
15,142,1990.971
15,143,5046.503
15,144,4703.2029999999995
15,145,3103.5119999999997
15,146,6.912
15,147,87.552
15,148,30.240000000000002
15,149,102.65599999999999
15,150,2783.765
15,151,2111.026
15,152,4508.903
15,153,3502.235
15,154,3490.587
15,155,5062.632
15,156,0.0
15,157,1578.956
15,158,4772.3189999999995
15,159,9738.189
15,160,2329.362
15,161,6.912
15,162,4675.556
15,163,5062.631
15,164,5062.631
15,165,3901.406
15,166,6.912
15,167,0.0
15,168,4675.556
15,169,393.98699999999997
15,170,30.656
15,171,3511.163
15,172,6.912
15,173,1572.0439999999999
15,174,3901.406
15,175,5892.076
15,176,7004.919
15,177,417.731
15,178,4264.737
15,179,2733.269
15,180,7391.994000000001
15,181,2346.194
15,182,1555.212
15,183,417.731
15,184,9738.189
15,185,5062.631
15,186,867103.512
15,187,6.912
15,188,67.392
15,189,87.552
15,190,111.296
15,191,3143.96
15,192,387.075
15,193,10.367999999999999
15,194,3144.055
15,195,5045.159
15,196,4670.18
15,197,4704.356
15,198,390.531
15,199,6.912
15,200,5124.006
15,201,9311.241
15,202,3901.406
15,203,6.912
15,204,1180.937
15,205,7378.554
15,206,3507.419
15,207,2716.437
15,208,3611.094
15,209,4280.61
15,210,778.374
15,211,30.656
15,212,2338.13
15,213,1164.105
15,214,2345.042
15,215,5045.159
15,216,5045.159
15,217,778.374
15,218,3919.626
15,219,1164.105
15,220,2345.042
15,221,4659.428
15,222,4691.572
15,223,4664.804
15,224,1938.831
15,225,10.367999999999999
15,226,8559.491
15,227,5062.630999999999
15,228,4797.095
15,229,3.456
15,230,6.912
15,231,127.872
15,232,27.072000000000003
15,233,103.736
15,234,2361.746
15,235,2345.5519999999997
15,236,3528.218
15,237,575826.51
