cell,slot,throughput
5,0,35844.767
5,1,6.912
5,2,570.5
5,3,1032.2
5,4,787.974
5,5,539.844
5,6,1032.2
5,7,4940.519
5,8,1313.9940000000001
5,9,516.1
5,10,4166.369
5,11,0.0
5,12,6.912
5,13,3925.151
5,14,1032.2
5,15,1555.212
5,16,4183.201
5,17,1032.2
5,18,787.974
5,19,539.844
5,20,1032.2
5,21,5198.569
5,22,1313.9940000000001
5,23,516.1
5,24,3908.319
5,25,0.0
5,26,6.912
5,27,97.633
5,28,30.240000000000002
5,29,47.232
5,30,651.1410000000001
5,31,1032.2
5,32,787.974
5,33,797.894
5,34,774.1500000000001
5,35,5222.313
5,36,1548.3000000000002
5,37,523.012
5,38,3377.243
5,39,0.0
5,40,6.912
5,41,54.4
5,42,0.0
5,43,37.568
5,44,23.744
5,45,0.0
5,46,13.824
5,47,23.744
5,48,0.0
5,49,61.312
5,50,0.0
5,51,6.912
5,52,30.656
5,53,0.0
5,54,6.912
5,55,30.656
5,56,0.0
5,57,37.568
5,58,23.744
5,59,0.0
5,60,13.824
5,61,23.744
5,62,0.0
5,63,61.312
5,64,0.0
5,65,6.912
5,66,30.656
5,67,0.0
5,68,6.912
5,69,54.4
5,70,0.0
5,71,37.568
5,72,23.744
5,73,0.0
5,74,37.568
5,75,0.0
5,76,6.912
5,77,54.4
5,78,0.0
5,79,6.912
5,80,30.656
5,81,0.0
5,82,74.305
5,83,30.240000000000002
5,84,30.240000000000002
5,85,158.529
5,86,23.744
5,87,0.0
5,88,37.568
5,89,0.0
5,90,6.912
5,91,54.4
5,92,0.0
5,93,6.912
5,94,2353.107
5,95,0.0
5,96,2618.069
5,97,1313.9940000000001
5,98,1032.2
5,99,5198.569
5,100,1313.9940000000001
5,101,518.692
5,102,1067.176
5,103,1032.2
5,104,1039.112
5,105,4699.301
5,106,1032.2
5,107,1813.2620000000002
5,108,2353.107
5,109,0.0
5,110,2876.1189999999997
5,111,516.1
5,112,0.0
5,113,61.312
5,114,1548.3000000000002
5,115,519.556
5,116,808.2620000000001
5,117,1032.2
5,118,1297.162
5,119,4441.251
5,120,1032.2
5,121,4162.9130000000005
5,122,3.456
5,123,0.0
5,124,3134.169
5,125,1313.9940000000001
5,126,516.1
5,127,5480.363
5,128,1290.25
5,129,777.606
5,130,548.42
5,131,1028.616
5,132,1549.836
5,133,4168.865
5,134,1028.616
5,135,4156.641
5,136,3.456
5,137,0.0
5,138,94.465
5,139,40.32
5,140,0.0
5,141,696.581
5,142,1028.616
5,143,774.9179999999999
5,144,291.26599999999996
5,145,514.308
5,146,906.951
5,147,1983.0559999999998
5,148,514.308
5,149,3251.13
5,150,0.864
5,151,0.0
5,152,3404.315
5,153,1542.924
5,154,521.22
5,155,5197.481
5,156,1028.616
5,157,777.51
5,158,545.828
5,159,1028.616
5,160,4152.033
5,161,1566.6680000000001
5,162,1028.616
5,163,4152.032999999999
5,164,0.0
5,165,0.0
5,166,3380.571
5,167,0.0
5,168,6.912
5,169,570.5
5,170,1032.2
5,171,781.062
5,172,544.9639999999999
5,173,1028.616
5,174,4409.187
5,175,1311.306
5,176,1032.2
5,177,4166.369
5,178,0.0
5,179,0.0
5,180,3932.0629999999996
5,181,1032.2
5,182,1039.112
5,183,4699.301
5,184,1032.2
5,185,781.062
5,186,544.9639999999999
5,187,1028.616
5,188,4676.197
5,189,1313.9940000000001
5,190,774.1500000000001
5,191,3626.076
5,192,0.0
5,193,6.912
5,194,97.633
5,195,30.240000000000002
5,196,47.232
5,197,392.195
5,198,514.308
5,199,399.555
5,200,280.898
5,201,514.308
5,202,2480.532
5,203,666.629
5,204,257.154
5,205,3260.058
5,206,0.0
5,207,6.912
5,208,1983.0559999999998
5,209,514.308
5,210,778.374
5,211,2249.6189999999997
5,212,790.28
5,213,606.534
5,214,404.1
5,215,760.712
5,216,3153.884
5,217,668.869
5,218,258.05
5,219,1972.9439999999997
5,220,0.0
5,221,6.912
5,222,3373.659
5,223,0.0
5,224,6.912
5,225,312.45000000000005
5,226,516.1
5,227,400.899
5,228,410.819
5,229,387.07500000000005
5,230,2641.813
5,231,774.1500000000001
5,232,264.962
5,233,1837.0069999999998
5,234,0.0
5,235,6.912
5,236,1989.776
5,237,516.1
5,238,2101.969
5,239,797.894
5,240,516.1
5,241,400.899
5,242,539.844
5,243,258.05
5,244,2770.838
5,245,645.125
5,246,393.987
5,247,1707.9819999999997
5,248,0.0
5,249,6.912
5,250,97.633
5,251,30.240000000000002
5,252,148.449
5,253,291.874
5,254,516.1
5,255,400.899
5,256,668.869
5,257,258.05
5,258,2770.838
5,259,516.1
5,260,523.0120000000001
5,261,1578.9569999999999
5,262,0.0
5,263,6.912
5,264,1989.776
5,265,516.1
5,266,2360.0190000000002
5,267,668.869
5,268,387.07500000000005
5,269,424.64300000000003
5,270,774.1500000000001
5,271,264.962
5,272,2634.9010000000003
5,273,516.1
5,274,652.037
5,275,1449.9319999999998
5,276,0.0
5,277,1198.794
5,278,516.1
5,279,0.0
5,280,37.568
5,281,539.844
5,282,258.05
5,283,553.668
5,284,645.125
5,285,393.987
5,286,2505.876
5,287,516.1
5,288,781.062
5,289,1320.907
5,290,0.0
5,291,1327.8190000000002
5,292,668.869
5,293,516.1
5,294,2618.069
5,295,668.869
5,296,260.642
5,297,551.076
5,298,516.1
5,299,523.0120000000001
5,300,2376.851
5,301,516.1
5,302,910.087
5,303,1191.8819999999998
5,304,0.0
5,305,94.465
5,306,20.16
5,307,20.16
5,308,182.273
5,309,774.1500000000001
5,310,261.506
5,311,421.187
5,312,516.1
5,313,652.037
5,314,2247.826
5,315,516.1
5,316,2098.513
5,317,3.456
5,318,0.0
5,319,1585.8690000000001
5,320,668.869
5,321,258.05
5,322,2770.838
5,323,645.125
5,324,390.531
5,325,292.16200000000003
5,326,516.1
5,327,781.062
5,328,2118.8010000000004
5,329,516.1
5,330,2098.513
5,331,3.456
5,332,0.0
5,333,1714.8940000000002
5,334,0.0
5,335,0.0
